07:40:24 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:41:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:43:07 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:44:26 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:45:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:28:41 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:29:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:31:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:32:30 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:33:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:36:59 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:38:27 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:40:00 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:41:27 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:42:55 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:44:07 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:45:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:47:07 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:48:38 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:50:07 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:51:34 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:52:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
